iterationNum,tenant,environment,testTarget,api,Number Of Drivers,additionalDriverArray,additionalDriverObject,addHasMedicalConditions,relationToPropCode,relationToPropUID,addOccupationCode,addOccupation,addDateOfBirthYear,addResidentSinceBirth,addResidentSinceYear,addLicType,addLicenceHeldYear,addLicenceHeldMonth,lexisNexisTriggerName,propIDMatch,add1IDMatch,fClaim12,fClaim24,fClaim36,fClaim48,fClaim60,nfClaim12,nfClaim24,nfClaim36,nfClaim48,nfClaim60,claims result,convictionsArray,addConvictionsArray,no Of Convictions,conviction1,conviction2,conviction3,convictionCode1,convictionCode2,convictionCode3,,disqualMonths1,disqualMonths2,disqualMonths3,pointsReceived1,pointsReceived2,pointsReceived3,convDate1Year,convDate2Year,convDate3Year,isPending1,isPending2,isPending3,fromML1,fromML2,fromML3,hasCriminalConvictions,hasMedicalConditions,hadInsuranceRefused,hadPolicyCancelled,hadPolicyVoid,isModified,isImpounded,ageOfVehicle,YOM,vehicleValue,vehABI,vehRate,registeredOwnerUID,classOfUseUID,postcode sector,postcodeGroup,postcode,propOccCode,propOccName,licenceType,licenceHeldYear,licenceHeldMonth,coverTypeUID,propResidentSinceBirth,propResidentSinceYear,dateOfBirthYear,,effectiveDateYear,targetScheme,separator,rule1,loading1,status1,rule2,loading2,status2,rule3,loading3,status3,rule4,loading4,status4,rule5,loading5,status5,rule6,loading6,status6,rule7,loading7,status7,rule8,loading8,status8,rule9,loading9,status9,rule10,loading10,status10,rule11,loading11,status11,rule12,loading12,status12,rule13,loading13,status13,rule14,loading14,status14,rule15,loading15,status15,rule16,loading16,status16,rule17,loading17,status17,rule18,loading18,status18
1,dash,test-develop,schemes,recar,ProposerOnly,[],"{
      ""RelationshipToPolicyHolder"": {
        ""ID"": 3035,
        ""Name"": ""Brother or Sister"",
        ""InstepCode"": ""{{relationToPropCode}}"",
        ""UniqueID"": ""RelationshipToPolicyHolder.{{relationToPropUID}}"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""IsTemporaryDriver"": null,
      ""TemporaryCoverEffectiveDate"": null,
      ""TemporaryCoverEndDate"": null,
      ""TempDriverRemovedFromPolicy"": null,
      ""PersonUniqueID"": 29234,
      ""Title"": {
        ""ID"": 1,
        ""Name"": ""Mr"",
        ""InstepCode"": ""003"",
        ""UniqueID"": ""Title.Mr"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""FirstName"": ""Victor"",
      ""LastName"": ""James"",
      ""Gender"": {
        ""ID"": 6,
        ""Name"": ""Male"",
        ""InstepCode"": ""M"",
        ""UniqueID"": ""Gender.Male"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""LicenceType"": {
        ""ID"": 55,
        ""Name"": ""Full UK Car Licence"",
        ""InstepCode"": ""F"",
        ""UniqueID"": ""CarLicenceTypes.{{addLicType}}"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""LicenceDate"": ""{{addLicenceHeld}}"",
      ""DateOfBirth"": ""{{addDateOfBirth}}"",
      ""UKResidentFromBirth"": {{addResidentSinceBirth}},
      ""UKResidentFromDate"": ""{{addResidentSince}}"",
      ""PrimaryEmploymentStatus"": {
        ""ID"": 41,
        ""Name"": ""Employed"",
        ""InstepCode"": ""E"",
        ""UniqueID"": ""EmploymentStatus.Employed"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""PrimaryOccupation"": {
        ""ID"": 71,
        ""Name"": ""{{addOccupation}}"",
        ""InstepCode"": ""{{addOccupationCode}}"",
        ""UniqueID"": ""Occupation."",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""PrimaryBusinessCategory"": {
        ""ID"": 1821,
        ""Name"": ""Abattoir"",
        ""InstepCode"": ""188"",
        ""UniqueID"": ""BusinessCategory.Abattoir"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""MaritalStatus"": {
        ""ID"": 31,
        ""Name"": ""Married"",
        ""InstepCode"": ""M"",
        ""UniqueID"": ""MaritalStatus.Married"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""NumberOfVehiclesHasAccessTo"": null,
      ""HasClaims"": false,
      ""HasConvictions"": false,
      ""HasMedicalConditions"": false,
      ""HasSecondaryEmployment"": null,
      ""SecondaryEmploymentStatus"": null,
      ""SecondaryOccupation"": null,
      ""SecondaryBusinessCategory"": null,
      ""IsMemberOfIam"": false,
      ""HadInsuranceRefused"": null,
      ""HadSpecialConditionsImposed"": null,
      ""RegisteredDisabled"": null,
      ""HasInformedDVLAOfMedicalConditionsAndDisabilities"": null,
      ""HasCriminalConvictions"": null,
      ""HasRestrictedLicense"": null,
      ""HasHGVLicense"": null,
      ""NatureOfRestrictedLicense"": null,
      ""PRN"": null,
      ""NumberOfVehiclesDriven"": null,
      ""OtherVehiclesOwned"": false,
      ""CompanyCarUsageType"": null,
      ""CompanyCarUsageCeasedDate"": null,
      ""HasAdvancedDrivingLicense"": false,
      ""AdvancedDrivingLicenseType"": null,
      ""HasHadPreviousPolicyCancelled"": false,
      ""HasHadPreviousPolicyPremiumIncreases"": false,
      ""Smoker"": false,
      ""DisabledBadgeHolder"": false,
      ""DrivingFrequency"": {
        ""ID"": 8810,
        ""Name"": ""Frequent"",
        ""InstepCode"": ""F"",
        ""UniqueID"": ""DrivingFrequency.Frequent"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": null
      },
      ""ClassOfUse"": {
        ""ID"": 2986,
        ""Name"": ""Social, Domestic & Pleasure"",
        ""InstepCode"": ""04"",
        ""UniqueID"": ""CarClassOfUse.SocialDomesticAndPleasure"",
        ""DefinedListUniqueID"": null,
        ""EnumLiteral"": ""SDPOnly""
      },
      ""DriverDrinksAlcohol"": null,
      ""DriverHasOwnCreditCard"": null,
      ""LicenceCountryOfIssue"": null,
      ""LicenceNumber"": ""JAMES903224VT9TD"",
      ""Claims"": [],
      ""Convictions"": {{addConvictionsArray}},
      ""MedicalConditions"": [],
      ""RehabCourse"": null,
      ""NoClaimsBonus"": 0,
      ""NCBEntitlementType"": null,
      ""RiskEffectiveDate"": ""{{effectiveDate}}"",
      ""SpecialistNumberOfVehicles"": null,
      ""HasConfirmedAssumptions"": null,
      ""DriverAddedToRiskDateTime"": ""{{effectiveDate}}"",
      ""IsVehicleInsuredAnnually"": null,
      ""TaxiBadgeHeldDate"": null,
      ""MainLicensingAuthority"": null,
      ""OtherLicensingAuthorities"": null,
      ""HasHadPolicyDeclaredVoid"": false,
      ""DoYouDriveAnyVehicleBesidesThisOne"": false,
      ""OtherVehiclesYouDrive"": null,
      ""RideSharingApp"": null,
      ""FullName"": ""Victor James"",
      ""MonthsSinceLicenceHeld"": 52,
      ""YearsSinceLicenceHeld"": 4,
      ""MonthsOfResidencyInUk"": 328,
      ""YearsOfResidenceyInUk"": 27
    }",,,,658,Estate Manager,-25,true,-25,ProvisionalUKCarLicence,0,-20,autoone,IS,1,0,0,0,0,0,0,0,0,0,0,,[],[],0,"{""ConvictionCode"":{""InstepCode"": ""{{convictionCode1}}""},""DisqualificationMonths"": {{disqualMonths1}}, ""PointsReceived"": {{pointsReceived1}}, ""ConvictionDate"": ""{{convDate1}}"",""IsPending"":{{isPending1}},""IsFromMyLicense"":{{fromML1}}}","{""ConvictionCode"":{""InstepCode"": ""{{convictionCode2}}""},""DisqualificationMonths"": {{disqualMonths2}}, ""PointsReceived"": {{pointsReceived2}},""ConvictionDate"": ""{{convDate2}}"",""IsPending"":{{isPending2}},""IsFromMyLicense"":{{fromML2}}}","{""ConvictionCode"":{""InstepCode"": ""{{convictionCode3}}""},""DisqualificationMonths"": {{disqualMonths3}}, ""PointsReceived"": {{pointsReceived3}},""ConvictionDate"": ""{{convDate3}}"",""IsPending"":{{isPending3}},""IsFromMyLicense"":{{fromML3}}}",,,,,0,0,0,0,0,0,-2,-2,-2,false,false,false,true,true,true,false,false,false,false,false,false,true,0,2023,5000,39120503,3,ProposerPolicyholder,SocialDomesticAndPleasure,IV13,1,IV13AA,R05,Refuse Collector,FullUKCarLicence,0,-24,ThirdParty,true,-25,-25,,0,Dash ERS Impound,-,Age of Driver,,QUOTE,Base Rate,281,QUOTE,Licence Length,,QUOTE,Occupation,,QUOTE,Age of Vehicle,,QUOTE,Vehicle Group,,QUOTE,Area,,QUOTE,Licence Type,,QUOTE,Convictions History,,QUOTE,Pending Convictions,,QUOTE,Non-Motoring Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,
83,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,2,0,0,0,0,0,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,46545309,18,ProposerPolicyholder,SocialDomesticAndPleasure,GU515,43.79,GU515AA,984,Technical Analyst,FullUKCarLicence,0,-24,ThirdParty,true,-24,-24,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,0,DECLINE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
84,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,2,0,0,0,0,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,16560201,18,ProposerPolicyholder,SocialDomesticAndPleasure,ST27,43.96,ST27AA,373,Youth Worker,FullUKCarLicence,0,-24,ThirdParty,true,-25,-25,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,466,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
85,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,2,0,0,0,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,10301129,18,ProposerPolicyholder,SocialDomesticAndPleasure,WR91,44.06,WR91AA,76,Clock Maker,FullUKCarLicence,0,-24,ThirdParty,true,-30,-30,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,281,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
86,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,0,2,0,0,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,104700,19,ProposerPolicyholder,SocialDomesticAndPleasure,FY78,44.24,FY78AA,459,Secretary And PA,FullUKCarLicence,0,-24,ThirdParty,true,-31,-31,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,251,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
87,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,0,0,2,0,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,4083903,19,ProposerPolicyholder,SocialDomesticAndPleasure,SG53,44.4,SG53AA,768,Shooting Instructor,FullUKCarLicence,0,-24,ThirdParty,true,-24,-24,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,0,DECLINE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
88,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,0,0,0,2,0,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,18504948,19,ProposerPolicyholder,SocialDomesticAndPleasure,PO64,44.43,PO64AA,485,Process Engineer,FullUKCarLicence,0,-24,ThirdParty,true,-25,-25,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,466,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
89,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,0,0,0,0,2,2,0,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,35557901,19,ProposerPolicyholder,SocialDomesticAndPleasure,WA128,45.05,WA128AA,278,Royal Marine,FullUKCarLicence,0,-24,ThirdParty,true,-30,-30,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,466,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
90,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,0,0,0,0,0,0,0,0,2,2,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,35518805,19,ProposerPolicyholder,SocialDomesticAndPleasure,BD226,45.15,BD226AA,360,Waiter or Waitress,FullUKCarLicence,0,-24,ThirdParty,true,-31,-31,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,251,QUOTE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
91,dash,test-develop,schemes,recar,ProposerOnly,[],,,,,,,,,,,,,autoone,IS,7,2,0,0,0,0,0,0,0,1,1,QUOTE,[],,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,true,0,2023,5000,45064102,19,ProposerPolicyholder,SocialDomesticAndPleasure,WF118,45.38,WF118AA,U01,Undertaker,FullUKCarLicence,0,-24,ThirdParty,true,-24,-24,,0,Dash ERS Impound,-,Claims,,QUOTE,Base Rate,0,DECLINE,,,,Occupation,,QUOTE,,,,Vehicle Group,,QUOTE,Area,,QUOTE,,,,Convictions History,,QUOTE,Pending Convictions,,QUOTE,,,,,,,,,,,,,,,,,,,,,,,,
